"Time","T0059","","T0059",""
"and","10.00","","400.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)",""
"","Total","Qual","Mean","Qual"
00:00:00 01/01/2016,        59.4,      1,        -2.7,      1,Sites:
00:00:00 01/02/2016,       156.2,      1,        -1.1,      1,T0059 - Ziano Di Fiemme (Malga Sadole) Lat:46.260619 Long:11.597609 Elev:1608
00:00:00 01/03/2016,        99.0,      1,        -0.5,      1,
00:00:00 01/04/2016,       111.6,      1,         4.4,      1,Variables:
00:00:00 01/05/2016,       183.0,      1,         6.7,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       150.0,      1,        11.0,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       137.4,      1,        14.1,      1,
00:00:00 01/08/2016,       147.2,      1,        13.3,      1,Qualities:
00:00:00 01/09/2016,       143.4,      1,        11.0,      1,1 - Dato buono
00:00:00 01/10/2016,       120.6,    140,         4.6,      1,90 - Neve (ritardato)
00:00:00 01/11/2016,       128.2,      1,         1.1,    140,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/12/2016,         0.0,      1,         1.1,      1,"145 - da teletrasmissione, non validato"
00:00:00 01/01/2017,         5.6,      1,        -5.2,      1,255 - No data
00:00:00 01/02/2017,        88.0,      1,        -0.7,      1
00:00:00 01/03/2017,        53.6,      1,         3.0,      1
00:00:00 01/04/2017,       166.8,      1,         3.8,      1
00:00:00 01/05/2017,       101.0,      1,         8.6,      1
00:00:00 01/06/2017,       145.2,      1,        13.8,      1
00:00:00 01/07/2017,       142.4,      1,        14.3,      1
00:00:00 01/08/2017,       117.2,      1,        14.9,      1
00:00:00 01/09/2017,       178.0,      1,         7.5,      1
00:00:00 01/10/2017,        23.8,      1,         6.7,      1
00:00:00 01/11/2017,       135.0,      1,        -0.2,      1
00:00:00 01/12/2017,       211.0,      1,        -3.2,      1
00:00:00 01/01/2018,        90.2,      1,        -1.8,      1
00:00:00 01/02/2018,        41.0,      1,        -5.6,      1
00:00:00 01/03/2018,       141.4,      1,        -1.2,      1
00:00:00 01/04/2018,       156.2,      1,         5.6,      1
00:00:00 01/05/2018,       200.4,      1,         8.5,      1
00:00:00 01/06/2018,        97.8,      1,        12.4,      1
00:00:00 01/07/2018,       145.4,      1,        14.4,      1
00:00:00 01/08/2018,       175.2,      1,        14.1,      1
00:00:00 01/09/2018,        55.2,      1,        11.0,      1
00:00:00 01/10/2018,       470.8,      1,         7.2,      1
00:00:00 01/11/2018,       151.8,      1,         1.9,      1
00:00:00 01/12/2018,         8.2,      1,        -1.7,      1
00:00:00 01/01/2019,        15.8,      1,        -4.7,      1
00:00:00 01/02/2019,       114.6,      1,         0.2,      1
00:00:00 01/03/2019,        45.4,      1,         1.4,      1
00:00:00 01/04/2019,       401.0,     90,         3.2,      1
00:00:00 01/05/2019,       227.8,      1,         4.4,      1
00:00:00 01/06/2019,        85.2,      1,        14.9,      1
00:00:00 01/07/2019,       160.6,      1,        14.4,      1
00:00:00 01/08/2019,       101.8,      1,        14.3,      1
00:00:00 01/09/2019,       107.0,      1,        10.0,      1
00:00:00 01/10/2019,        89.8,      1,         7.0,      1
00:00:00 01/11/2019,       664.0,      1,         0.5,      1
00:00:00 01/12/2019,       107.0,      1,        -1.2,      1
00:00:00 01/01/2020,         6.0,      1,        -1.5,      1
00:00:00 01/02/2020,         7.0,      1,        -0.3,      1
00:00:00 01/03/2020,       123.6,      1,        -0.4,      1
00:00:00 01/04/2020,        51.2,      1,         4.9,      1
00:00:00 01/05/2020,       122.0,      1,         8.2,      1
00:00:00 01/06/2020,       193.8,      1,        10.9,      1
00:00:00 01/07/2020,       122.6,      1,        13.9,      1
00:00:00 01/08/2020,       291.2,      1,        13.9,      1
00:00:00 01/09/2020,        90.4,      1,        10.3,      1
00:00:00 01/10/2020,       385.2,      1,         3.6,      1
00:00:00 01/11/2020,         9.2,      1,         2.7,      1
00:00:00 01/12/2020,       503.0,      1,        -2.7,      1
00:00:00 01/01/2021,       169.0,     90,        -4.9,    140
00:00:00 01/02/2021,        71.6,      1,        -2.3,    140
00:00:00 01/03/2021,         6.0,      1,        -1.8,      1
00:00:00 01/04/2021,        68.0,      1,         0.8,      1
00:00:00 01/05/2021,       231.8,      1,         5.4,      1
00:00:00 01/06/2021,        58.6,      1,        13.4,      1
00:00:00 01/07/2021,       253.4,      1,        13.8,      1
00:00:00 01/08/2021,       129.0,      1,        12.8,      1
00:00:00 01/09/2021,       101.2,      1,        10.6,      1
00:00:00 01/10/2021,       131.8,      1,         5.1,      1
00:00:00 01/11/2021,       208.8,      1,         1.2,      1
00:00:00 01/12/2021,        25.2,      1,        -1.8,      1
00:00:00 01/01/2022,        19.6,      1,        -1.5,      1
00:00:00 01/02/2022,        51.6,      1,        -1.4,      1
00:00:00 01/03/2022,         6.0,      1,        -0.3,      1
00:00:00 01/04/2022,       104.6,      1,         2.9,      1
00:00:00 01/05/2022,        90.6,      1,         9.9,      1
00:00:00 01/06/2022,       153.6,      1,        14.2,      1
00:00:00 01/07/2022,       136.6,      1,        15.9,      1
00:00:00 01/08/2022,       124.4,      1,        14.0,      1
00:00:00 01/09/2022,       108.2,      1,         8.7,      1
00:00:00 01/10/2022,        49.4,      1,         8.8,      1
00:00:00 01/11/2022,        98.8,      1,         1.3,      1
00:00:00 01/12/2022,        96.4,      1,        -1.8,      1
00:00:00 01/01/2023,        30.4,      1,        -2.7,      1
00:00:00 01/02/2023,         0.0,      1,        -0.5,      1
00:00:00 01/03/2023,        38.0,      1,         1.4,      1
00:00:00 01/04/2023,        81.6,      1,         2.5,      1
00:00:00 01/05/2023,       234.4,      1,         7.4,      1
00:00:00 01/06/2023,       107.2,      1,        12.6,      1
00:00:00 01/07/2023,       172.8,      1,        14.5,      1
00:00:00 01/08/2023,       147.0,      1,        14.8,      1
00:00:00 01/09/2023,        77.6,      1,        12.3,      1
00:00:00 01/10/2023,       290.6,      1,         8.6,      1
00:00:00 01/11/2023,       131.6,      1,         0.2,      1
00:00:00 01/12/2023,       159.0,      1,        -0.4,      1
00:00:00 01/01/2024,        84.2,      1,        -1.8,      1
00:00:00 01/02/2024,       190.2,      1,         1.2,      1
00:00:00 01/03/2024,       255.2,      1,         1.6,      1
00:00:00 01/04/2024,       124.2,      1,         4.2,      1
00:00:00 01/05/2024,       435.6,      1,         7.2,      1
00:00:00 01/06/2024,       183.4,      1,        12.4,      1
00:00:00 01/07/2024,       143.2,      1,        15.7,      1
00:00:00 01/08/2024,        87.0,      1,        16.3,      1
00:00:00 01/09/2024,       237.4,      1,         9.1,      1
00:00:00 01/10/2024,       320.2,      1,         7.0,      1
00:00:00 01/11/2024,         6.4,      1,         1.8,      1
00:00:00 01/12/2024,        23.2,      1,        -1.2,      1
00:00:00 01/01/2025,       105.6,      1,        -1.9,      1
00:00:00 01/02/2025,        30.4,      1,        -1.3,      1
00:00:00 01/03/2025,       105.2,    145,         1.2,    145
00:00:00 01/04/2025,       224.4,    145,         4.9,    145
00:00:00 01/05/2025,       156.6,    145,         7.7,    145
00:00:00 01/06/2025,"",    255,"",    255
00:00:00 01/07/2025,"",    255,"",    255
00:00:00 01/08/2025,       168.4,    145,        14.0,    145
00:00:00 01/09/2025,       172.0,    145,        10.1,    145
00:00:00 01/10/2025,        55.2,    145,         4.9,    145
00:00:00 01/11/2025,        90.8,    145,         0.3,    145
00:00:00 01/12/2025,        17.8,    145,         0.4,    145
00:00:00 01/01/2026,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255

