"Time","T0014","","T0014","","T0014","","T0014","","T0014",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/01/2016,        64.6,      1,        64.6,      1,        -0.8,      1,       -10.9,      1,        11.5,      1,Sites:
00:00:00 01/02/2016,       121.8,      1,       119.5,    145,         1.4,      1,        -4.5,      1,        11.0,      1,T0014 - Telve (Pontarso) Lat:46.115819 Long:11.49451 Elev:925
00:00:00 01/03/2016,        58.6,      1,        60.8,      1,         3.3,      1,        -3.3,      1,        16.3,      1,
00:00:00 01/04/2016,        68.6,      1,        72.8,      1,         8.7,      1,        -1.6,      1,        18.4,      1,Variables:
00:00:00 01/05/2016,       173.8,      1,       163.2,      1,        10.5,      1,         1.6,      1,        22.2,      1,10 - Pioggia (millimetri)
00:00:00 01/06/2016,       130.2,      1,       134.9,      1,        14.5,      1,         7.3,      1,        28.8,      1,400 - Temperatura aria (gradi Celsius)
00:00:00 01/07/2016,       166.8,      1,       166.2,      1,        17.4,      1,         7.7,      1,        27.1,      1,
00:00:00 01/08/2016,       132.0,      1,       134.3,      1,        16.0,      1,         6.2,      1,        26.0,      1,Qualities:
00:00:00 01/09/2016,        56.8,      1,        56.8,      1,        14.1,      1,         6.6,      1,        25.5,      1,1 - Dato buono
00:00:00 01/10/2016,       109.0,      1,       109.0,      1,         7.6,      1,        -1.2,      1,        17.4,      1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 01/11/2016,        99.0,      1,        99.0,      1,         3.5,      1,        -5.1,      1,        10.8,      1,"145 - da teletrasmissione, non validato"
00:00:00 01/12/2016,         0.0,      1,         0.0,      1,         1.6,      1,        -4.4,      1,        12.1,      1,151 - Dato mancante
00:00:00 01/01/2017,         5.8,      1,         5.3,      1,        -3.1,      1,       -12.0,      1,         7.2,      1,255 - No data
00:00:00 01/02/2017,        57.6,      1,        55.5,      1,         1.5,      1,        -2.8,      1,        10.1,      1
00:00:00 01/03/2017,        41.8,      1,        44.4,      1,         6.2,      1,        -1.8,      1,        18.8,      1
00:00:00 01/04/2017,        99.8,      1,        99.8,      1,         7.7,      1,        -3.4,      1,        19.5,      1
00:00:00 01/05/2017,        94.8,      1,        94.8,      1,        11.9,      1,         0.2,      1,        25.4,      1
00:00:00 01/06/2017,       156.2,      1,       154.3,      1,        16.8,      1,         5.2,      1,        28.5,    140
00:00:00 01/07/2017,       126.4,      1,       128.3,      1,        17.2,      1,         7.3,    140,        28.5,      1
00:00:00 01/08/2017,        38.6,      1,        39.0,      1,        17.8,      1,         7.2,      1,        30.5,      1
00:00:00 01/09/2017,"",    255,"",    151,"",    255,"",    151,"",    151
00:00:00 01/10/2017,         9.8,      1,         9.8,      1,         8.6,      1,        -0.2,      1,        19.2,      1
00:00:00 01/11/2017,       108.6,      1,       108.5,      1,         2.3,      1,        -7.4,      1,        11.9,      1
00:00:00 01/12/2017,        81.2,      1,        82.4,      1,        -1.6,      1,        -8.3,      1,         7.7,      1
00:00:00 01/01/2018,        48.4,      1,        48.3,      1,         0.3,    140,        -4.8,      1,         9.7,      1
00:00:00 01/02/2018,        23.6,      1,        22.6,      1,        -2.0,      1,       -13.8,      1,         7.0,      1
00:00:00 01/03/2018,       131.6,      1,       124.0,      1,         1.9,      1,        -8.6,      1,        12.1,      1
00:00:00 01/04/2018,       115.6,      1,       123.2,      1,         9.7,      1,        -1.7,      1,        23.9,      1
00:00:00 01/05/2018,       198.2,      1,       198.0,      1,        11.8,      1,         2.4,      1,        23.0,      1
00:00:00 01/06/2018,       104.6,      1,       104.7,      1,        15.6,      1,         5.3,      1,        27.4,      1
00:00:00 01/07/2018,       219.2,      1,       212.9,      1,        17.2,      1,         9.8,      1,        28.4,      1
00:00:00 01/08/2018,       199.4,      1,       203.7,      1,        17.0,      1,         5.3,      1,        27.6,      1
00:00:00 01/09/2018,        61.8,      1,        66.6,      1,        13.6,      1,         1.1,      1,        23.8,      1
00:00:00 01/10/2018,       260.8,      1,       268.4,      1,         9.8,      1,         0.2,      1,        23.4,      1
00:00:00 01/11/2018,        95.2,      1,        84.7,      1,         4.9,      1,        -2.6,      1,        14.9,      1
00:00:00 01/12/2018,         7.4,      1,         7.4,      1,         0.1,      1,        -8.0,      1,        10.4,      1
00:00:00 01/01/2019,        15.0,      1,        16.5,      1,        -0.9,      1,        -8.0,      1,         9.5,      1
00:00:00 01/02/2019,        71.6,      1,        70.1,      1,         2.1,      1,        -6.1,      1,        15.3,      1
00:00:00 01/03/2019,        19.8,      1,        19.8,      1,         5.0,      1,        -2.7,      1,        18.0,      1
00:00:00 01/04/2019,       280.8,      1,       280.8,      1,         7.3,      1,         0.1,      1,        19.1,      1
00:00:00 01/05/2019,       182.6,      1,       182.6,      1,         9.0,      1,        -1.5,      1,        22.8,      1
00:00:00 01/06/2019,        50.4,      1,        50.4,      1,        18.2,      1,         7.4,      1,        31.5,      1
00:00:00 01/07/2019,       157.0,      1,       155.5,      1,        17.5,      1,         8.8,      1,        29.4,      1
00:00:00 01/08/2019,        99.2,      1,       100.7,      1,        17.6,      1,         9.1,      1,        27.0,      1
00:00:00 01/09/2019,        93.6,      1,        93.6,      1,        13.0,      1,         5.6,      1,        24.4,      1
00:00:00 01/10/2019,        88.2,      1,        88.2,      1,         9.7,      1,         2.4,      1,        18.4,      1
00:00:00 01/11/2019,       363.8,      1,       363.8,      1,         3.9,      1,        -2.6,      1,        10.9,      1
00:00:00 01/12/2019,        68.6,      1,        68.6,      1,         1.2,      1,        -5.0,      1,         9.3,      1
00:00:00 01/01/2020,         2.4,      1,         2.4,      1,         0.8,      1,        -5.4,      1,         9.1,      1
00:00:00 01/02/2020,         5.0,      1,         7.0,      1,         2.6,      1,        -3.0,      1,        14.7,      1
00:00:00 01/03/2020,       105.0,      1,       103.0,      1,         3.2,      1,        -4.9,      1,        15.3,    140
00:00:00 01/04/2020,        43.4,      1,        34.9,      1,         9.2,      1,        -4.3,      1,        20.6,      1
00:00:00 01/05/2020,       119.8,      1,       128.3,      1,        12.1,      1,         2.9,      1,        23.2,      1
00:00:00 01/06/2020,       155.2,      1,       155.2,      1,        14.7,      1,         6.3,      1,        27.2,      1
00:00:00 01/07/2020,       148.0,      1,       147.9,      1,        16.9,      1,         8.2,      1,        30.1,      1
00:00:00 01/08/2020,       233.2,      1,       229.4,      1,        17.1,      1,         8.8,      1,        30.1,      1
00:00:00 01/09/2020,        54.2,      1,        58.1,      1,        13.4,      1,         1.9,      1,        23.9,      1
00:00:00 01/10/2020,       197.2,      1,       197.1,      1,         7.2,      1,        -1.0,      1,        16.3,      1
00:00:00 01/11/2020,         5.8,      1,         5.8,      1,         4.2,      1,        -4.2,      1,        13.5,      1
00:00:00 01/12/2020,       284.2,      1,       284.3,      1,         0.2,      1,        -7.6,      1,         9.0,    140
00:00:00 01/01/2021,       118.2,      1,       118.1,      1,        -2.7,      1,       -10.4,      1,         6.7,      1
00:00:00 01/02/2021,        43.2,      1,        43.2,      1,         1.1,      1,       -10.4,      1,        13.3,    140
00:00:00 01/03/2021,         4.2,      1,         4.2,      1,         3.5,      1,        -6.0,      1,        20.4,      1
00:00:00 01/04/2021,        63.6,      1,        64.8,      1,         5.9,      1,        -4.8,      1,        20.4,      1
00:00:00 01/05/2021,       189.8,      1,       188.6,      1,         9.8,      1,         1.7,      1,        21.0,      1
00:00:00 01/06/2021,        74.0,      1,        72.7,      1,        16.8,      1,         7.0,      1,        28.8,      1
00:00:00 01/07/2021,       245.8,      1,       265.4,      1,        17.0,      1,         7.9,      1,        27.2,    140
00:00:00 01/08/2021,       142.6,      1,       123.9,      1,        15.8,      1,         6.0,      1,        28.0,      1
00:00:00 01/09/2021,        66.6,      1,        67.0,      1,        13.8,      1,         6.1,      1,        23.7,      1
00:00:00 01/10/2021,        79.6,      1,        79.7,      1,         7.5,      1,        -0.7,      1,        19.2,      1
00:00:00 01/11/2021,       165.4,      1,       165.3,      1,         4.0,      1,        -5.2,      1,        12.9,      1
00:00:00 01/12/2021,        19.4,      1,        19.4,      1,         0.3,      1,        -6.4,      1,        13.0,      1
00:00:00 01/01/2022,        15.6,      1,        15.6,      1,         0.9,      1,        -6.2,      1,        14.2,      1
00:00:00 01/02/2022,        29.4,      1,        29.4,      1,         1.5,      1,        -6.3,      1,        11.2,      1
00:00:00 01/03/2022,         5.0,      1,        10.4,      1,         3.2,      1,        -5.5,      1,        16.7,      1
00:00:00 01/04/2022,        76.8,      1,        71.3,      1,         6.9,      1,        -2.1,      1,        20.7,      1
00:00:00 01/05/2022,       111.2,      1,       110.7,      1,        13.3,      1,         4.4,      1,        26.1,      1
00:00:00 01/06/2022,        67.6,      1,        68.1,      1,        17.4,      1,         7.3,      1,        28.3,      1
00:00:00 01/07/2022,       123.6,      1,       123.6,      1,        19.5,      1,         9.8,      1,        31.5,      1
00:00:00 01/08/2022,       145.6,      1,       142.9,      1,        17.3,      1,         7.9,      1,        28.8,      1
00:00:00 01/09/2022,       105.6,      1,       106.7,      1,        12.3,      1,         2.7,      1,        23.9,      1
00:00:00 01/10/2022,        60.0,      1,        61.6,      1,        11.0,      1,         5.6,      1,        19.5,      1
00:00:00 01/11/2022,        84.4,      1,        84.4,      1,         4.4,      1,        -2.1,      1,        14.3,      1
00:00:00 01/12/2022,        81.0,      1,        81.0,      1,         0.4,      1,        -9.4,      1,         7.8,      1
00:00:00 01/01/2023,        45.6,      1,        45.6,      1,         0.3,      1,        -6.8,      1,         8.4,    140
00:00:00 01/02/2023,         0.0,      1,         0.0,      1,         1.8,      1,        -8.7,      1,        11.8,      1
00:00:00 01/03/2023,        37.4,      1,        34.8,      1,         5.3,      1,        -2.5,      1,        16.5,      1
00:00:00 01/04/2023,        58.6,      1,        61.8,      1,         6.8,      1,        -3.5,      1,        17.5,      1
00:00:00 01/05/2023,       183.6,      1,       182.9,      1,        11.2,      1,         4.2,      1,        21.5,      1
00:00:00 01/06/2023,       131.2,      1,       130.7,      1,        15.9,      1,         8.4,      1,        27.2,      1
00:00:00 01/07/2023,       188.8,      1,       190.0,      1,        17.5,      1,         7.3,      1,        28.6,      1
00:00:00 01/08/2023,       103.0,      1,       102.4,      1,        17.7,      1,         7.2,      1,        29.9,      1
00:00:00 01/09/2023,        73.2,      1,        73.2,      1,        14.9,      1,         6.1,      1,        24.1,      1
00:00:00 01/10/2023,       236.0,      1,       235.7,      1,        11.2,      1,         0.8,      1,        24.5,      1
00:00:00 01/11/2023,       116.2,      1,       120.1,      1,         2.9,      1,        -3.3,      1,        13.1,      1
00:00:00 01/12/2023,        92.6,      1,        86.2,      1,         1.9,      1,        -5.7,      1,        14.6,      1
00:00:00 01/01/2024,        69.4,      1,        72.2,      1,         0.4,      1,        -7.1,      1,        13.9,      1
00:00:00 01/02/2024,       144.8,      1,       146.9,      1,         4.1,      1,        -1.8,      1,        13.6,      1
00:00:00 01/03/2024,       160.2,      1,       160.3,      1,         5.4,      1,        -1.4,      1,        15.3,      1
00:00:00 01/04/2024,        60.0,      1,        57.7,      1,         8.2,      1,        -1.9,      1,        22.8,      1
00:00:00 01/05/2024,       375.4,      1,       371.4,      1,        11.0,      1,         3.8,      1,        20.1,      1
00:00:00 01/06/2024,       225.0,      1,       229.0,      1,        15.3,      1,         5.8,      1,        26.7,      1
00:00:00 01/07/2024,       162.0,      1,       162.0,      1,        18.6,      1,         7.9,      1,        28.2,      1
00:00:00 01/08/2024,        81.2,      1,        81.2,      1,        18.9,      1,        11.9,      1,        29.0,      1
00:00:00 01/09/2024,       237.2,      1,       237.2,      1,        12.9,      1,         3.5,      1,        26.0,      1
00:00:00 01/10/2024,       257.0,      1,       257.0,      1,        10.0,      1,         3.3,      1,        16.0,      1
00:00:00 01/11/2024,         6.4,      1,         6.4,      1,         3.5,      1,        -4.8,      1,        14.7,      1
00:00:00 01/12/2024,        32.4,      1,        32.4,      1,         0.9,      1,        -4.3,      1,         8.8,      1
00:00:00 01/01/2025,        78.0,      1,        78.2,      1,         0.6,      1,        -6.5,      1,         8.3,      1
00:00:00 01/02/2025,        25.8,      1,        25.6,      1,         1.7,      1,        -4.8,      1,         9.1,      1
00:00:00 01/03/2025,       106.6,    145,"",    255,         5.0,    145,"",    255,"",    255
00:00:00 01/04/2025,       165.8,    145,"",    255,         8.9,    145,"",    255,"",    255
00:00:00 01/05/2025,       143.6,    145,"",    255,        11.2,    145,"",    255,"",    255
00:00:00 01/06/2025,        70.6,    145,"",    255,        18.5,    145,"",    255,"",    255
00:00:00 01/07/2025,"",    151,"",    255,"",    151,"",    255,"",    255
00:00:00 01/08/2025,       156.2,    145,"",    255,        16.9,    145,"",    255,"",    255
00:00:00 01/09/2025,       165.6,    145,"",    255,        13.0,    145,"",    255,"",    255
00:00:00 01/10/2025,        50.8,    145,"",    255,         7.6,    145,"",    255,"",    255
00:00:00 01/11/2025,        90.4,    145,"",    255,         2.6,    145,"",    255,"",    255
00:00:00 01/12/2025,        20.6,    145,"",    255,         2.1,    145,"",    255,"",    255
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255

